######################################################
# SECTION (No. 1): Z=0.000
# No. POINTS: 201
# Size: 20.62 X 12.31
# LENGTH: 51.663
# AREA: 183.961
# BARYCENTER: X=0.045 Y=-0.000
######################################################
# POINTS SEQUENCE:
X:10.356 Y:-0.000 Z:0.000
X:10.340 Y:0.323 Z:0.000
X:10.326 Y:0.647 Z:0.000
X:10.216 Y:0.961 Z:0.000
X:9.528 Y:1.197 Z:0.000
X:9.364 Y:1.475 Z:0.000
X:9.187 Y:1.743 Z:0.000
X:9.009 Y:2.003 Z:0.000
X:8.817 Y:2.251 Z:0.000
X:8.625 Y:2.492 Z:0.000
X:8.420 Y:2.720 Z:0.000
X:8.215 Y:2.940 Z:0.000
X:8.003 Y:3.150 Z:0.000
X:7.788 Y:3.350 Z:0.000
X:7.571 Y:3.540 Z:0.000
X:7.352 Y:3.722 Z:0.000
X:7.130 Y:3.894 Z:0.000
X:6.907 Y:4.057 Z:0.000
X:6.684 Y:4.211 Z:0.000
X:6.461 Y:4.359 Z:0.000
X:6.236 Y:4.496 Z:0.000
X:6.014 Y:4.628 Z:0.000
X:5.790 Y:4.750 Z:0.000
X:5.570 Y:4.868 Z:0.000
X:5.346 Y:4.976 Z:0.000
X:5.128 Y:5.081 Z:0.000
X:4.908 Y:5.176 Z:0.000
X:4.691 Y:5.267 Z:0.000
X:4.475 Y:5.351 Z:0.000
X:4.260 Y:5.430 Z:0.000
X:4.049 Y:5.507 Z:0.000
X:3.836 Y:5.575 Z:0.000
X:3.627 Y:5.640 Z:0.000
X:3.418 Y:5.700 Z:0.000
X:3.211 Y:5.754 Z:0.000
X:3.007 Y:5.808 Z:0.000
X:2.802 Y:5.854 Z:0.000
X:2.600 Y:5.898 Z:0.000
X:2.399 Y:5.939 Z:0.000
X:2.198 Y:5.973 Z:0.000
X:1.999 Y:6.007 Z:0.000
X:1.801 Y:6.035 Z:0.000
X:1.603 Y:6.060 Z:0.000
X:1.407 Y:6.084 Z:0.000
X:1.212 Y:6.104 Z:0.000
X:1.017 Y:6.119 Z:0.000
X:0.822 Y:6.135 Z:0.000
X:0.628 Y:6.143 Z:0.000
X:0.434 Y:6.149 Z:0.000
X:0.241 Y:6.156 Z:0.000
X:0.047 Y:6.157 Z:0.000
X:-0.146 Y:6.155 Z:0.000
X:-0.340 Y:6.153 Z:0.000
X:-0.533 Y:6.143 Z:0.000
X:-0.727 Y:6.133 Z:0.000
X:-0.922 Y:6.122 Z:0.000
X:-1.117 Y:6.103 Z:0.000
X:-1.313 Y:6.084 Z:0.000
X:-1.509 Y:6.063 Z:0.000
X:-1.706 Y:6.035 Z:0.000
X:-1.904 Y:6.007 Z:0.000
X:-2.104 Y:5.975 Z:0.000
X:-2.304 Y:5.938 Z:0.000
X:-2.506 Y:5.899 Z:0.000
X:-2.708 Y:5.855 Z:0.000
X:-2.912 Y:5.807 Z:0.000
X:-3.118 Y:5.758 Z:0.000
X:-3.324 Y:5.700 Z:0.000
X:-3.533 Y:5.641 Z:0.000
X:-3.743 Y:5.576 Z:0.000
X:-3.953 Y:5.506 Z:0.000
X:-4.168 Y:5.434 Z:0.000
X:-4.381 Y:5.353 Z:0.000
X:-4.598 Y:5.269 Z:0.000
X:-4.814 Y:5.177 Z:0.000
X:-5.033 Y:5.080 Z:0.000
X:-5.255 Y:4.979 Z:0.000
X:-5.475 Y:4.868 Z:0.000
X:-5.699 Y:4.754 Z:0.000
X:-5.920 Y:4.629 Z:0.000
X:-6.146 Y:4.499 Z:0.000
X:-6.367 Y:4.359 Z:0.000
X:-6.592 Y:4.213 Z:0.000
X:-6.815 Y:4.058 Z:0.000
X:-7.039 Y:3.895 Z:0.000
X:-7.260 Y:3.723 Z:0.000
X:-7.481 Y:3.542 Z:0.000
X:-7.696 Y:3.351 Z:0.000
X:-7.912 Y:3.151 Z:0.000
X:-8.122 Y:2.941 Z:0.000
X:-8.332 Y:2.723 Z:0.000
X:-8.529 Y:2.492 Z:0.000
X:-8.730 Y:2.253 Z:0.000
X:-8.915 Y:2.003 Z:0.000
X:-9.099 Y:1.745 Z:0.000
X:-9.271 Y:1.476 Z:0.000
X:-9.436 Y:1.198 Z:0.000
X:-10.131 Y:0.962 Z:0.000
X:-10.235 Y:0.647 Z:0.000
X:-10.259 Y:0.324 Z:0.000
X:-10.262 Y:-0.000 Z:0.000
X:-10.259 Y:-0.324 Z:0.000
X:-10.235 Y:-0.647 Z:0.000
X:-10.143 Y:-0.963 Z:0.000
X:-9.438 Y:-1.198 Z:0.000
X:-9.269 Y:-1.476 Z:0.000
X:-9.099 Y:-1.745 Z:0.000
X:-8.915 Y:-2.003 Z:0.000
X:-8.730 Y:-2.254 Z:0.000
X:-8.530 Y:-2.492 Z:0.000
X:-8.331 Y:-2.722 Z:0.000
X:-8.123 Y:-2.941 Z:0.000
X:-7.911 Y:-3.151 Z:0.000
X:-7.696 Y:-3.351 Z:0.000
X:-7.480 Y:-3.542 Z:0.000
X:-7.260 Y:-3.724 Z:0.000
X:-7.038 Y:-3.895 Z:0.000
X:-6.815 Y:-4.059 Z:0.000
X:-6.592 Y:-4.214 Z:0.000
X:-6.368 Y:-4.360 Z:0.000
X:-6.144 Y:-4.499 Z:0.000
X:-5.920 Y:-4.629 Z:0.000
X:-5.698 Y:-4.753 Z:0.000
X:-5.474 Y:-4.868 Z:0.000
X:-5.255 Y:-4.979 Z:0.000
X:-5.033 Y:-5.081 Z:0.000
X:-4.815 Y:-5.178 Z:0.000
X:-4.597 Y:-5.268 Z:0.000
X:-4.381 Y:-5.353 Z:0.000
X:-4.167 Y:-5.434 Z:0.000
